"Flow ID","Flow","Month ID","Month","Trade Value","Time"
1,"Imports",200601,"2006-01",1751,1138752000000
1,"Imports",200602,"2006-02",6686,1141171200000
1,"Imports",200603,"2006-03",14041,1143846000000
1,"Imports",200604,"2006-04",27683,1146438000000
1,"Imports",200605,"2006-05",20820,1149116400000
1,"Imports",200606,"2006-06",179090,1151708400000
1,"Imports",200607,"2006-07",104776,1154386800000
1,"Imports",200608,"2006-08",6996,1157065200000
1,"Imports",200609,"2006-09",41099,1159657200000
1,"Imports",200610,"2006-10",72888,1162339200000
1,"Imports",200611,"2006-11",586533,1164931200000
1,"Imports",200612,"2006-12",9712,1167609600000
1,"Imports",200701,"2007-01",3,1170288000000
1,"Imports",200702,"2007-02",251,1172707200000
1,"Imports",200703,"2007-03",13536,1175382000000
1,"Imports",200704,"2007-04",1201,1177974000000
1,"Imports",200705,"2007-05",5335,1180652400000
1,"Imports",200706,"2007-06",30181,1183244400000
1,"Imports",200707,"2007-07",145,1185922800000
1,"Imports",200708,"2007-08",355555,1188601200000
1,"Imports",200709,"2007-09",17387,1191193200000
1,"Imports",200710,"2007-10",15832,1193875200000
1,"Imports",200711,"2007-11",91431,1196467200000
1,"Imports",200712,"2007-12",45883,1199145600000
1,"Imports",200801,"2008-01",6948,1201824000000
1,"Imports",200802,"2008-02",14978,1204329600000
1,"Imports",200803,"2008-03",137378,1207004400000
1,"Imports",200804,"2008-04",3803,1209596400000
1,"Imports",200805,"2008-05",11119,1212274800000
1,"Imports",200806,"2008-06",46182,1214866800000
1,"Imports",200807,"2008-07",2958,1217545200000
1,"Imports",200808,"2008-08",13981,1220223600000
1,"Imports",200809,"2008-09",937,1222815600000
1,"Imports",200810,"2008-10",61780,1225497600000
1,"Imports",200811,"2008-11",63855,1228089600000
1,"Imports",200812,"2008-12",1267,1230768000000
1,"Imports",200901,"2009-01",5465,1233446400000
1,"Imports",200902,"2009-02",114357,1235865600000
1,"Imports",200903,"2009-03",19378,1238540400000
1,"Imports",200904,"2009-04",18911,1241132400000
1,"Imports",200905,"2009-05",2793,1243810800000
1,"Imports",200906,"2009-06",4463,1246402800000
1,"Imports",200907,"2009-07",229,1249081200000
1,"Imports",200908,"2009-08",8192,1251759600000
1,"Imports",200909,"2009-09",4797,1254351600000
1,"Imports",200910,"2009-10",2668,1257033600000
1,"Imports",200911,"2009-11",32781,1259625600000
1,"Imports",200912,"2009-12",21535,1262304000000
1,"Imports",201001,"2010-01",4406,1264982400000
1,"Imports",201002,"2010-02",6102,1267401600000
1,"Imports",201003,"2010-03",99754,1270076400000
1,"Imports",201004,"2010-04",987,1272668400000
1,"Imports",201005,"2010-05",12478,1275346800000
1,"Imports",201006,"2010-06",113757,1277938800000
1,"Imports",201007,"2010-07",169837,1280617200000
1,"Imports",201008,"2010-08",399824,1283295600000
1,"Imports",201009,"2010-09",6693,1285887600000
1,"Imports",201010,"2010-10",217712,1288569600000
1,"Imports",201011,"2010-11",200866,1291161600000
1,"Imports",201012,"2010-12",265763,1293840000000
1,"Imports",201101,"2011-01",261577,1296518400000
1,"Imports",201102,"2011-02",316282,1298937600000
1,"Imports",201103,"2011-03",3917,1301612400000
1,"Imports",201104,"2011-04",257465,1304204400000
1,"Imports",201105,"2011-05",253516,1306882800000
1,"Imports",201106,"2011-06",53388,1309474800000
1,"Imports",201107,"2011-07",4029,1312153200000
1,"Imports",201108,"2011-08",303223,1314831600000
1,"Imports",201109,"2011-09",259739,1317423600000
1,"Imports",201110,"2011-10",268790,1320105600000
1,"Imports",201111,"2011-11",508637,1322697600000
1,"Imports",201112,"2011-12",482059,1325376000000
1,"Imports",201201,"2012-01",258137,1328054400000
1,"Imports",201202,"2012-02",91560,1330560000000
1,"Imports",201203,"2012-03",426402,1333234800000
1,"Imports",201204,"2012-04",494810,1335826800000
1,"Imports",201205,"2012-05",368846,1338505200000
1,"Imports",201206,"2012-06",35455,1341097200000
1,"Imports",201207,"2012-07",366453,1343775600000
1,"Imports",201208,"2012-08",323502,1346454000000
1,"Imports",201209,"2012-09",240904,1349046000000
1,"Imports",201210,"2012-10",362720,1351728000000
1,"Imports",201211,"2012-11",420791,1354320000000
1,"Imports",201212,"2012-12",44650,1356998400000
1,"Imports",201301,"2013-01",253352,1359676800000
