"Flow ID","Flow","Month ID","Month","Trade Value","Time"
1,"Imports",200601,"2006-01",19388326,1138752000000
1,"Imports",200602,"2006-02",24973425,1141171200000
1,"Imports",200603,"2006-03",27297151,1143846000000
1,"Imports",200604,"2006-04",23617023,1146438000000
1,"Imports",200605,"2006-05",31180669,1149116400000
1,"Imports",200606,"2006-06",24284885,1151708400000
1,"Imports",200607,"2006-07",27855698,1154386800000
1,"Imports",200608,"2006-08",33145142,1157065200000
1,"Imports",200609,"2006-09",25355339,1159657200000
1,"Imports",200610,"2006-10",30999055,1162339200000
1,"Imports",200611,"2006-11",30419451,1164931200000
1,"Imports",200612,"2006-12",24309637,1167609600000
1,"Imports",200701,"2007-01",31405218,1170288000000
1,"Imports",200702,"2007-02",22247887,1172707200000
1,"Imports",200703,"2007-03",36212201,1175382000000
1,"Imports",200704,"2007-04",28708342,1177974000000
1,"Imports",200705,"2007-05",46185006,1180652400000
1,"Imports",200706,"2007-06",47122752,1183244400000
1,"Imports",200707,"2007-07",49315629,1185922800000
1,"Imports",200708,"2007-08",56908365,1188601200000
1,"Imports",200709,"2007-09",50335285,1191193200000
1,"Imports",200710,"2007-10",66981725,1193875200000
1,"Imports",200711,"2007-11",55739560,1196467200000
1,"Imports",200712,"2007-12",45088299,1199145600000
1,"Imports",200801,"2008-01",49453598,1201824000000
1,"Imports",200802,"2008-02",33573301,1204329600000
1,"Imports",200803,"2008-03",35778863,1207004400000
1,"Imports",200804,"2008-04",39457241,1209596400000
1,"Imports",200805,"2008-05",35462753,1212274800000
1,"Imports",200806,"2008-06",28568723,1214866800000
1,"Imports",200807,"2008-07",46849076,1217545200000
1,"Imports",200808,"2008-08",35189434,1220223600000
1,"Imports",200809,"2008-09",45645678,1222815600000
1,"Imports",200810,"2008-10",40327567,1225497600000
1,"Imports",200811,"2008-11",24567152,1228089600000
1,"Imports",200812,"2008-12",29616765,1230768000000
1,"Imports",200901,"2009-01",32458798,1233446400000
1,"Imports",200902,"2009-02",28594936,1235865600000
1,"Imports",200903,"2009-03",27401477,1238540400000
1,"Imports",200904,"2009-04",16696013,1241132400000
1,"Imports",200905,"2009-05",19267188,1243810800000
1,"Imports",200906,"2009-06",20820614,1246402800000
1,"Imports",200907,"2009-07",23447221,1249081200000
1,"Imports",200908,"2009-08",19530897,1251759600000
1,"Imports",200909,"2009-09",24416401,1254351600000
1,"Imports",200910,"2009-10",29743862,1257033600000
1,"Imports",200911,"2009-11",20661078,1259625600000
1,"Imports",200912,"2009-12",22365463,1262304000000
1,"Imports",201001,"2010-01",21294576,1264982400000
1,"Imports",201002,"2010-02",26975862,1267401600000
1,"Imports",201003,"2010-03",36580126,1270076400000
1,"Imports",201004,"2010-04",28581850,1272668400000
1,"Imports",201005,"2010-05",29919899,1275346800000
1,"Imports",201006,"2010-06",31615169,1277938800000
1,"Imports",201007,"2010-07",33795864,1280617200000
1,"Imports",201008,"2010-08",26243053,1283295600000
1,"Imports",201009,"2010-09",30305979,1285887600000
1,"Imports",201010,"2010-10",36182669,1288569600000
1,"Imports",201011,"2010-11",35978707,1291161600000
1,"Imports",201012,"2010-12",35318499,1293840000000
1,"Imports",201101,"2011-01",24631658,1296518400000
1,"Imports",201102,"2011-02",35772892,1298937600000
1,"Imports",201103,"2011-03",36626457,1301612400000
1,"Imports",201104,"2011-04",49686666,1304204400000
1,"Imports",201105,"2011-05",40262406,1306882800000
1,"Imports",201106,"2011-06",29794494,1309474800000
1,"Imports",201107,"2011-07",29387517,1312153200000
1,"Imports",201108,"2011-08",32082963,1314831600000
1,"Imports",201109,"2011-09",30691294,1317423600000
1,"Imports",201110,"2011-10",29936254,1320105600000
1,"Imports",201111,"2011-11",30058158,1322697600000
1,"Imports",201112,"2011-12",34641373,1325376000000
1,"Imports",201201,"2012-01",26200681,1328054400000
1,"Imports",201202,"2012-02",48668901,1330560000000
1,"Imports",201203,"2012-03",39140323,1333234800000
1,"Imports",201204,"2012-04",27637150,1335826800000
1,"Imports",201205,"2012-05",40979883,1338505200000
1,"Imports",201206,"2012-06",35664190,1341097200000
1,"Imports",201207,"2012-07",37885778,1343775600000
1,"Imports",201208,"2012-08",44879168,1346454000000
1,"Imports",201209,"2012-09",26275735,1349046000000
1,"Imports",201210,"2012-10",35589893,1351728000000
1,"Imports",201211,"2012-11",35162966,1354320000000
1,"Imports",201212,"2012-12",24382225,1356998400000
1,"Imports",201301,"2013-01",32484627,1359676800000
1,"Imports",201302,"2013-02",39418998,1362096000000
1,"Imports",201303,"2013-03",41599674,1364770800000
1,"Imports",201304,"2013-04",91932363,1367362800000
1,"Imports",201305,"2013-05",39140202,1370041200000
1,"Imports",201306,"2013-06",59834465,1372633200000
1,"Imports",201307,"2013-07",64052862,1375311600000
1,"Imports",201308,"2013-08",54979977,1377990000000
1,"Imports",201309,"2013-09",72898078,1380582000000
1,"Imports",201310,"2013-10",36569009,1383264000000
1,"Imports",201311,"2013-11",29181503,1385856000000
1,"Imports",201312,"2013-12",30662055,1388534400000
1,"Imports",201401,"2014-01",34111379,1391212800000
1,"Imports",201402,"2014-02",39997891,1393632000000
1,"Imports",201403,"2014-03",32889355,1396306800000
1,"Imports",201404,"2014-04",68747708,1398898800000
1,"Imports",201405,"2014-05",65414770,1401577200000
1,"Imports",201406,"2014-06",38258286,1404169200000
1,"Imports",201407,"2014-07",37890014,1406847600000
1,"Imports",201408,"2014-08",131654484,1409526000000
1,"Imports",201409,"2014-09",49170076,1412118000000
1,"Imports",201410,"2014-10",74692234,1414800000000
1,"Imports",201411,"2014-11",72951758,1417392000000
1,"Imports",201412,"2014-12",34608142,1420070400000
1,"Imports",201501,"2015-01",47719926,1422748800000
1,"Imports",201502,"2015-02",44346366,1425168000000
1,"Imports",201503,"2015-03",33387071,1427842800000
1,"Imports",201504,"2015-04",55465421,1430434800000
1,"Imports",201505,"2015-05",31728093,1433113200000
1,"Imports",201506,"2015-06",39207074,1435705200000
1,"Imports",201507,"2015-07",31941362,1438383600000
1,"Imports",201508,"2015-08",27121067,1441062000000
1,"Imports",201509,"2015-09",62729994,1443654000000
1,"Imports",201510,"2015-10",38396543,1446336000000
1,"Imports",201511,"2015-11",42919858,1448928000000
1,"Imports",201512,"2015-12",44792212,1451606400000
