"Flow ID","Flow","Month ID","Month","Trade Value","Time"
1,"Imports",200601,"2006-01",3392298,1138752000000
1,"Imports",200602,"2006-02",4011421,1141171200000
1,"Imports",200603,"2006-03",3985262,1143846000000
1,"Imports",200604,"2006-04",2857648,1146438000000
1,"Imports",200605,"2006-05",1117162,1149116400000
1,"Imports",200606,"2006-06",11917119,1151708400000
1,"Imports",200607,"2006-07",2166493,1154386800000
1,"Imports",200608,"2006-08",2394883,1157065200000
1,"Imports",200609,"2006-09",1910533,1159657200000
1,"Imports",200610,"2006-10",5348392,1162339200000
1,"Imports",200611,"2006-11",2073027,1164931200000
1,"Imports",200612,"2006-12",1550300,1167609600000
1,"Imports",200701,"2007-01",2362724,1170288000000
1,"Imports",200702,"2007-02",1640243,1172707200000
1,"Imports",200703,"2007-03",10344834,1175382000000
1,"Imports",200704,"2007-04",33224538,1177974000000
1,"Imports",200705,"2007-05",4195055,1180652400000
1,"Imports",200706,"2007-06",4466941,1183244400000
1,"Imports",200707,"2007-07",3084303,1185922800000
1,"Imports",200708,"2007-08",4317256,1188601200000
1,"Imports",200709,"2007-09",3249854,1191193200000
1,"Imports",200710,"2007-10",3392600,1193875200000
1,"Imports",200711,"2007-11",32005310,1196467200000
1,"Imports",200712,"2007-12",2767433,1199145600000
1,"Imports",200801,"2008-01",11285490,1201824000000
1,"Imports",200802,"2008-02",64156516,1204329600000
1,"Imports",200803,"2008-03",1576977,1207004400000
1,"Imports",200804,"2008-04",35975628,1209596400000
1,"Imports",200805,"2008-05",3926187,1212274800000
1,"Imports",200806,"2008-06",37497745,1214866800000
1,"Imports",200807,"2008-07",50075019,1217545200000
1,"Imports",200808,"2008-08",2768438,1220223600000
1,"Imports",200809,"2008-09",7739841,1222815600000
1,"Imports",200810,"2008-10",29974577,1225497600000
1,"Imports",200811,"2008-11",1164201,1228089600000
1,"Imports",200812,"2008-12",31253123,1230768000000
1,"Imports",200901,"2009-01",2660286,1233446400000
1,"Imports",200902,"2009-02",3917026,1235865600000
1,"Imports",200903,"2009-03",6645616,1238540400000
1,"Imports",200904,"2009-04",2309139,1241132400000
1,"Imports",200905,"2009-05",4256570,1243810800000
1,"Imports",200906,"2009-06",3390909,1246402800000
1,"Imports",200907,"2009-07",3831916,1249081200000
1,"Imports",200908,"2009-08",4103355,1251759600000
1,"Imports",200909,"2009-09",3850998,1254351600000
1,"Imports",200910,"2009-10",3272993,1257033600000
1,"Imports",200911,"2009-11",9123355,1259625600000
