"Flow ID","Flow","Month ID","Month","Trade Value","Time"
1,"Imports",200601,"2006-01",1040602,1138752000000
1,"Imports",200602,"2006-02",1374691,1141171200000
1,"Imports",200603,"2006-03",921423,1143846000000
1,"Imports",200604,"2006-04",448724,1146438000000
1,"Imports",200605,"2006-05",893707,1149116400000
1,"Imports",200606,"2006-06",1057361,1151708400000
1,"Imports",200607,"2006-07",1064616,1154386800000
1,"Imports",200608,"2006-08",690608,1157065200000
1,"Imports",200609,"2006-09",1065918,1159657200000
1,"Imports",200610,"2006-10",1163415,1162339200000
1,"Imports",200611,"2006-11",699506,1164931200000
1,"Imports",200612,"2006-12",1309585,1167609600000
1,"Imports",200701,"2007-01",1447934,1170288000000
1,"Imports",200702,"2007-02",746271,1172707200000
1,"Imports",200703,"2007-03",1838930,1175382000000
1,"Imports",200704,"2007-04",1032465,1177974000000
1,"Imports",200705,"2007-05",1181505,1180652400000
1,"Imports",200706,"2007-06",1114979,1183244400000
1,"Imports",200707,"2007-07",1362090,1185922800000
1,"Imports",200708,"2007-08",1004205,1188601200000
1,"Imports",200709,"2007-09",1349805,1191193200000
1,"Imports",200710,"2007-10",1036350,1193875200000
1,"Imports",200711,"2007-11",973024,1196467200000
1,"Imports",200712,"2007-12",1234571,1199145600000
1,"Imports",200801,"2008-01",1190222,1201824000000
1,"Imports",200802,"2008-02",3224999,1204329600000
1,"Imports",200803,"2008-03",945216,1207004400000
1,"Imports",200804,"2008-04",897440,1209596400000
1,"Imports",200805,"2008-05",2156930,1212274800000
1,"Imports",200806,"2008-06",951877,1214866800000
1,"Imports",200807,"2008-07",2204232,1217545200000
1,"Imports",200808,"2008-08",971753,1220223600000
1,"Imports",200809,"2008-09",1142301,1222815600000
1,"Imports",200810,"2008-10",44540172,1225497600000
1,"Imports",200811,"2008-11",27737199,1228089600000
1,"Imports",200812,"2008-12",1153394,1230768000000
1,"Imports",200901,"2009-01",1853814,1233446400000
1,"Imports",200902,"2009-02",1611997,1235865600000
1,"Imports",200903,"2009-03",1130040,1238540400000
1,"Imports",200904,"2009-04",830070,1241132400000
1,"Imports",200905,"2009-05",838310,1243810800000
1,"Imports",200906,"2009-06",432903,1246402800000
1,"Imports",200907,"2009-07",1057023,1249081200000
1,"Imports",200908,"2009-08",1865828,1251759600000
1,"Imports",200909,"2009-09",907940,1254351600000
1,"Imports",200910,"2009-10",14475640,1257033600000
1,"Imports",200911,"2009-11",9492691,1259625600000
1,"Imports",200912,"2009-12",22779756,1262304000000
1,"Imports",201001,"2010-01",1283295,1264982400000
1,"Imports",201002,"2010-02",3406596,1267401600000
1,"Imports",201003,"2010-03",1785856,1270076400000
1,"Imports",201004,"2010-04",2764539,1272668400000
1,"Imports",201005,"2010-05",1958364,1275346800000
1,"Imports",201006,"2010-06",1317327,1277938800000
1,"Imports",201007,"2010-07",1542198,1280617200000
1,"Imports",201008,"2010-08",1443290,1283295600000
1,"Imports",201009,"2010-09",1505474,1285887600000
1,"Imports",201010,"2010-10",1933323,1288569600000
1,"Imports",201011,"2010-11",1332340,1291161600000
1,"Imports",201012,"2010-12",23925780,1293840000000
1,"Imports",201101,"2011-01",7606225,1296518400000
1,"Imports",201102,"2011-02",1738245,1298937600000
1,"Imports",201103,"2011-03",5144912,1301612400000
1,"Imports",201104,"2011-04",1610222,1304204400000
1,"Imports",201105,"2011-05",2653472,1306882800000
1,"Imports",201106,"2011-06",2663783,1309474800000
1,"Imports",201107,"2011-07",1320683,1312153200000
1,"Imports",201108,"2011-08",2267818,1314831600000
1,"Imports",201109,"2011-09",1134289,1317423600000
1,"Imports",201110,"2011-10",1660013,1320105600000
1,"Imports",201111,"2011-11",2137826,1322697600000
1,"Imports",201112,"2011-12",12116851,1325376000000
1,"Imports",201201,"2012-01",1901513,1328054400000
1,"Imports",201202,"2012-02",1652635,1330560000000
1,"Imports",201203,"2012-03",2658711,1333234800000
1,"Imports",201204,"2012-04",1661067,1335826800000
1,"Imports",201205,"2012-05",3538771,1338505200000
1,"Imports",201206,"2012-06",1367624,1341097200000
1,"Imports",201207,"2012-07",2595525,1343775600000
1,"Imports",201208,"2012-08",1204446,1346454000000
1,"Imports",201209,"2012-09",1177538,1349046000000
1,"Imports",201210,"2012-10",3031230,1351728000000
1,"Imports",201211,"2012-11",1044464,1354320000000
1,"Imports",201212,"2012-12",1280097,1356998400000
1,"Imports",201301,"2013-01",755270,1359676800000
1,"Imports",201302,"2013-02",1810742,1362096000000
1,"Imports",201303,"2013-03",701910,1364770800000
1,"Imports",201304,"2013-04",2223826,1367362800000
1,"Imports",201305,"2013-05",481528,1370041200000
1,"Imports",201306,"2013-06",768006,1372633200000
1,"Imports",201307,"2013-07",2221023,1375311600000
1,"Imports",201308,"2013-08",1788401,1377990000000
1,"Imports",201309,"2013-09",2193159,1380582000000
1,"Imports",201310,"2013-10",2110033,1383264000000
1,"Imports",201311,"2013-11",1196123,1385856000000
1,"Imports",201312,"2013-12",1529244,1388534400000
1,"Imports",201401,"2014-01",3230226,1391212800000
1,"Imports",201402,"2014-02",1882235,1393632000000
1,"Imports",201403,"2014-03",9940436,1396306800000
1,"Imports",201404,"2014-04",1796362,1398898800000
1,"Imports",201405,"2014-05",2049357,1401577200000
1,"Imports",201406,"2014-06",16593664,1404169200000
1,"Imports",201407,"2014-07",1587553,1406847600000
1,"Imports",201408,"2014-08",1683730,1409526000000
1,"Imports",201409,"2014-09",1653246,1412118000000
1,"Imports",201410,"2014-10",1669648,1414800000000
1,"Imports",201411,"2014-11",1410356,1417392000000
1,"Imports",201412,"2014-12",1335339,1420070400000
1,"Imports",201501,"2015-01",1590416,1422748800000
1,"Imports",201502,"2015-02",1949616,1425168000000
1,"Imports",201503,"2015-03",2403208,1427842800000
1,"Imports",201504,"2015-04",1590382,1430434800000
1,"Imports",201505,"2015-05",2509596,1433113200000
1,"Imports",201506,"2015-06",3405845,1435705200000
1,"Imports",201507,"2015-07",3918207,1438383600000
1,"Imports",201508,"2015-08",3446444,1441062000000
1,"Imports",201509,"2015-09",3861870,1443654000000
1,"Imports",201510,"2015-10",3954184,1446336000000
1,"Imports",201511,"2015-11",1547159,1448928000000
1,"Imports",201512,"2015-12",1800676,1451606400000
1,"Imports",201601,"2016-01",1625268,1454284800000
1,"Imports",201602,"2016-02",1242545,1456790400000
1,"Imports",201603,"2016-03",2048613,1459465200000
1,"Imports",201604,"2016-04",1886728,1462057200000
1,"Imports",201605,"2016-05",1121755,1464735600000
1,"Imports",201606,"2016-06",2915947,1467327600000
1,"Imports",201607,"2016-07",2373835,1470006000000
1,"Imports",201608,"2016-08",2095712,1472684400000
1,"Imports",201609,"2016-09",1703467,1475276400000
1,"Imports",201610,"2016-10",1857822,1477958400000
1,"Imports",201611,"2016-11",1439111,1480550400000
1,"Imports",201612,"2016-12",1080769,1483228800000
1,"Imports",201701,"2017-01",13574816,1485907200000
