"Flow ID","Flow","Month ID","Month","Trade Value","Time"
1,"Imports",200601,"2006-01",16881468,1138752000000
1,"Imports",200602,"2006-02",19710625,1141171200000
1,"Imports",200603,"2006-03",12368830,1143846000000
1,"Imports",200604,"2006-04",9991931,1146438000000
1,"Imports",200605,"2006-05",20967004,1149116400000
1,"Imports",200606,"2006-06",12551829,1151708400000
1,"Imports",200607,"2006-07",9748615,1154386800000
1,"Imports",200608,"2006-08",11842997,1157065200000
1,"Imports",200609,"2006-09",12642075,1159657200000
1,"Imports",200610,"2006-10",8914137,1162339200000
1,"Imports",200611,"2006-11",11237901,1164931200000
1,"Imports",200612,"2006-12",12072969,1167609600000
1,"Imports",200701,"2007-01",6086027,1170288000000
1,"Imports",200702,"2007-02",14072571,1172707200000
1,"Imports",200703,"2007-03",10084132,1175382000000
1,"Imports",200704,"2007-04",6613080,1177974000000
1,"Imports",200705,"2007-05",13322908,1180652400000
1,"Imports",200706,"2007-06",11250366,1183244400000
1,"Imports",200707,"2007-07",7755715,1185922800000
1,"Imports",200708,"2007-08",11377283,1188601200000
1,"Imports",200709,"2007-09",10603345,1191193200000
1,"Imports",200710,"2007-10",8666508,1193875200000
1,"Imports",200711,"2007-11",31528584,1196467200000
1,"Imports",200712,"2007-12",12041254,1199145600000
1,"Imports",200801,"2008-01",9546557,1201824000000
1,"Imports",200802,"2008-02",7412316,1204329600000
1,"Imports",200803,"2008-03",9101642,1207004400000
1,"Imports",200804,"2008-04",9537482,1209596400000
1,"Imports",200805,"2008-05",8681625,1212274800000
1,"Imports",200806,"2008-06",5475564,1214866800000
1,"Imports",200807,"2008-07",9064939,1217545200000
1,"Imports",200808,"2008-08",9862506,1220223600000
1,"Imports",200809,"2008-09",12817441,1222815600000
1,"Imports",200810,"2008-10",7858704,1225497600000
1,"Imports",200811,"2008-11",10629128,1228089600000
1,"Imports",200812,"2008-12",7450591,1230768000000
1,"Imports",200901,"2009-01",3273597,1233446400000
1,"Imports",200902,"2009-02",6070840,1235865600000
1,"Imports",200903,"2009-03",8772151,1238540400000
1,"Imports",200904,"2009-04",6115360,1241132400000
1,"Imports",200905,"2009-05",14298989,1243810800000
1,"Imports",200906,"2009-06",9654957,1246402800000
1,"Imports",200907,"2009-07",6233812,1249081200000
1,"Imports",200908,"2009-08",9561069,1251759600000
1,"Imports",200909,"2009-09",9832983,1254351600000
1,"Imports",200910,"2009-10",8826069,1257033600000
1,"Imports",200911,"2009-11",12295694,1259625600000
1,"Imports",200912,"2009-12",13936723,1262304000000
1,"Imports",201001,"2010-01",10736890,1264982400000
1,"Imports",201002,"2010-02",7314083,1267401600000
1,"Imports",201003,"2010-03",11293632,1270076400000
1,"Imports",201004,"2010-04",6063728,1272668400000
1,"Imports",201005,"2010-05",11546200,1275346800000
1,"Imports",201006,"2010-06",8180000,1277938800000
1,"Imports",201007,"2010-07",7501039,1280617200000
1,"Imports",201008,"2010-08",13780291,1283295600000
1,"Imports",201009,"2010-09",12330477,1285887600000
1,"Imports",201010,"2010-10",4959732,1288569600000
1,"Imports",201011,"2010-11",9106573,1291161600000
1,"Imports",201012,"2010-12",6114097,1293840000000
1,"Imports",201101,"2011-01",12687015,1296518400000
1,"Imports",201102,"2011-02",6424636,1298937600000
1,"Imports",201103,"2011-03",9031589,1301612400000
1,"Imports",201104,"2011-04",12308616,1304204400000
1,"Imports",201105,"2011-05",5491184,1306882800000
1,"Imports",201106,"2011-06",8395783,1309474800000
1,"Imports",201107,"2011-07",6359072,1312153200000
1,"Imports",201108,"2011-08",12567836,1314831600000
1,"Imports",201109,"2011-09",9115666,1317423600000
1,"Imports",201110,"2011-10",7792819,1320105600000
1,"Imports",201111,"2011-11",47059275,1322697600000
1,"Imports",201112,"2011-12",8094278,1325376000000
1,"Imports",201201,"2012-01",7061807,1328054400000
1,"Imports",201202,"2012-02",6616951,1330560000000
1,"Imports",201203,"2012-03",11965131,1333234800000
1,"Imports",201204,"2012-04",8155729,1335826800000
1,"Imports",201205,"2012-05",10025415,1338505200000
1,"Imports",201206,"2012-06",10033102,1341097200000
