"Flow ID","Flow","Month ID","Month","Trade Value","Time"
1,"Imports",200601,"2006-01",11319322,1138752000000
1,"Imports",200602,"2006-02",10562897,1141171200000
1,"Imports",200603,"2006-03",34724642,1143846000000
1,"Imports",200604,"2006-04",12877677,1146438000000
1,"Imports",200605,"2006-05",13810406,1149116400000
1,"Imports",200606,"2006-06",12682843,1151708400000
1,"Imports",200607,"2006-07",17989022,1154386800000
1,"Imports",200608,"2006-08",20920526,1157065200000
1,"Imports",200609,"2006-09",22518420,1159657200000
1,"Imports",200610,"2006-10",20231278,1162339200000
1,"Imports",200611,"2006-11",17756392,1164931200000
1,"Imports",200612,"2006-12",14050052,1167609600000
1,"Imports",200701,"2007-01",17393549,1170288000000
1,"Imports",200702,"2007-02",18845233,1172707200000
1,"Imports",200703,"2007-03",16602033,1175382000000
1,"Imports",200704,"2007-04",12101343,1177974000000
1,"Imports",200705,"2007-05",21405619,1180652400000
1,"Imports",200706,"2007-06",19219995,1183244400000
1,"Imports",200707,"2007-07",14426558,1185922800000
1,"Imports",200708,"2007-08",29607598,1188601200000
1,"Imports",200709,"2007-09",35052728,1191193200000
1,"Imports",200710,"2007-10",24489702,1193875200000
1,"Imports",200711,"2007-11",22582492,1196467200000
1,"Imports",200712,"2007-12",18558063,1199145600000
1,"Imports",200801,"2008-01",18405065,1201824000000
1,"Imports",200802,"2008-02",19399282,1204329600000
1,"Imports",200803,"2008-03",18529038,1207004400000
1,"Imports",200804,"2008-04",27826213,1209596400000
1,"Imports",200805,"2008-05",23112948,1212274800000
1,"Imports",200806,"2008-06",33383868,1214866800000
1,"Imports",200807,"2008-07",29681559,1217545200000
1,"Imports",200808,"2008-08",32409090,1220223600000
1,"Imports",200809,"2008-09",21739320,1222815600000
1,"Imports",200810,"2008-10",24797026,1225497600000
1,"Imports",200811,"2008-11",24911332,1228089600000
1,"Imports",200812,"2008-12",17479996,1230768000000
1,"Imports",200901,"2009-01",17465442,1233446400000
1,"Imports",200902,"2009-02",18099187,1235865600000
1,"Imports",200903,"2009-03",21331782,1238540400000
1,"Imports",200904,"2009-04",24606831,1241132400000
1,"Imports",200905,"2009-05",17091283,1243810800000
1,"Imports",200906,"2009-06",20539371,1246402800000
1,"Imports",200907,"2009-07",22830029,1249081200000
1,"Imports",200908,"2009-08",23096465,1251759600000
1,"Imports",200909,"2009-09",19121352,1254351600000
1,"Imports",200910,"2009-10",17682592,1257033600000
1,"Imports",200911,"2009-11",20731561,1259625600000
1,"Imports",200912,"2009-12",20305066,1262304000000
1,"Imports",201001,"2010-01",18996223,1264982400000
1,"Imports",201002,"2010-02",24781999,1267401600000
1,"Imports",201003,"2010-03",26269914,1270076400000
1,"Imports",201004,"2010-04",22328809,1272668400000
1,"Imports",201005,"2010-05",25866314,1275346800000
1,"Imports",201006,"2010-06",30254385,1277938800000
1,"Imports",201007,"2010-07",34634989,1280617200000
1,"Imports",201008,"2010-08",29901619,1283295600000
1,"Imports",201009,"2010-09",29087600,1285887600000
1,"Imports",201010,"2010-10",25761924,1288569600000
1,"Imports",201011,"2010-11",30372718,1291161600000
1,"Imports",201012,"2010-12",38820575,1293840000000
1,"Imports",201101,"2011-01",31162906,1296518400000
1,"Imports",201102,"2011-02",29685835,1298937600000
1,"Imports",201103,"2011-03",42952784,1301612400000
1,"Imports",201104,"2011-04",34000711,1304204400000
1,"Imports",201105,"2011-05",40681379,1306882800000
1,"Imports",201106,"2011-06",39640879,1309474800000
1,"Imports",201107,"2011-07",39231199,1312153200000
1,"Imports",201108,"2011-08",48167136,1314831600000
1,"Imports",201109,"2011-09",63111668,1317423600000
1,"Imports",201110,"2011-10",55883761,1320105600000
1,"Imports",201111,"2011-11",59308650,1322697600000
1,"Imports",201112,"2011-12",43207204,1325376000000
1,"Imports",201201,"2012-01",46865722,1328054400000
1,"Imports",201202,"2012-02",46123754,1330560000000
1,"Imports",201203,"2012-03",66496636,1333234800000
1,"Imports",201204,"2012-04",55641181,1335826800000
1,"Imports",201205,"2012-05",45139468,1338505200000
1,"Imports",201206,"2012-06",45768790,1341097200000
1,"Imports",201207,"2012-07",74906390,1343775600000
1,"Imports",201208,"2012-08",58036202,1346454000000
1,"Imports",201209,"2012-09",44893382,1349046000000
1,"Imports",201210,"2012-10",71296545,1351728000000
1,"Imports",201211,"2012-11",65412168,1354320000000
1,"Imports",201212,"2012-12",55317537,1356998400000
1,"Imports",201301,"2013-01",41812445,1359676800000
1,"Imports",201302,"2013-02",43820302,1362096000000
1,"Imports",201303,"2013-03",45557797,1364770800000
1,"Imports",201304,"2013-04",57407773,1367362800000
1,"Imports",201305,"2013-05",77295155,1370041200000
1,"Imports",201306,"2013-06",71230331,1372633200000
1,"Imports",201307,"2013-07",62507891,1375311600000
1,"Imports",201308,"2013-08",90270321,1377990000000
1,"Imports",201309,"2013-09",75355027,1380582000000
1,"Imports",201310,"2013-10",72315156,1383264000000
1,"Imports",201311,"2013-11",55810073,1385856000000
1,"Imports",201312,"2013-12",65246629,1388534400000
1,"Imports",201401,"2014-01",56151547,1391212800000
1,"Imports",201402,"2014-02",58823733,1393632000000
1,"Imports",201403,"2014-03",85930331,1396306800000
1,"Imports",201404,"2014-04",85263161,1398898800000
1,"Imports",201405,"2014-05",79760349,1401577200000
1,"Imports",201406,"2014-06",75325183,1404169200000
1,"Imports",201407,"2014-07",76149591,1406847600000
1,"Imports",201408,"2014-08",70658314,1409526000000
1,"Imports",201409,"2014-09",68166540,1412118000000
1,"Imports",201410,"2014-10",86120595,1414800000000
1,"Imports",201411,"2014-11",73472432,1417392000000
1,"Imports",201412,"2014-12",73847294,1420070400000
1,"Imports",201501,"2015-01",71658283,1422748800000
1,"Imports",201502,"2015-02",68377595,1425168000000
1,"Imports",201503,"2015-03",96880206,1427842800000
1,"Imports",201504,"2015-04",101344700,1430434800000
1,"Imports",201505,"2015-05",91990269,1433113200000
1,"Imports",201506,"2015-06",105188004,1435705200000
1,"Imports",201507,"2015-07",118695244,1438383600000
1,"Imports",201508,"2015-08",124697029,1441062000000
1,"Imports",201509,"2015-09",93745510,1443654000000
1,"Imports",201510,"2015-10",105899624,1446336000000
1,"Imports",201511,"2015-11",82651364,1448928000000
1,"Imports",201512,"2015-12",65763100,1451606400000
1,"Imports",201601,"2016-01",57821672,1454284800000
1,"Imports",201602,"2016-02",52318609,1456790400000
1,"Imports",201603,"2016-03",67969714,1459465200000
1,"Imports",201604,"2016-04",60183137,1462057200000
1,"Imports",201605,"2016-05",68742251,1464735600000
1,"Imports",201606,"2016-06",94679077,1467327600000
1,"Imports",201607,"2016-07",77998158,1470006000000
1,"Imports",201608,"2016-08",70205394,1472684400000
1,"Imports",201609,"2016-09",59054100,1475276400000
1,"Imports",201610,"2016-10",57259901,1477958400000
1,"Imports",201611,"2016-11",65377597,1480550400000
1,"Imports",201612,"2016-12",56556394,1483228800000
1,"Imports",201701,"2017-01",59699117,1485907200000
1,"Imports",201702,"2017-02",53275385,1488326400000
1,"Imports",201703,"2017-03",71735143,1491001200000
1,"Imports",201704,"2017-04",69547951,1493593200000
1,"Imports",201705,"2017-05",70884340,1496271600000
1,"Imports",201706,"2017-06",83350766,1498863600000
1,"Imports",201707,"2017-07",76494902,1501542000000
1,"Imports",201708,"2017-08",68432017,1504220400000
1,"Imports",201709,"2017-09",80211065,1506812400000
1,"Imports",201710,"2017-10",72008998,1509494400000
1,"Imports",201711,"2017-11",73854086,1512086400000
1,"Imports",201712,"2017-12",70566119,1514764800000
1,"Imports",201801,"2018-01",113797919,1517443200000
1,"Imports",201802,"2018-02",78434418,1519862400000
1,"Imports",201803,"2018-03",94436398,1522537200000
1,"Imports",201804,"2018-04",80672720,1525129200000
1,"Imports",201805,"2018-05",88719790,1527807600000
1,"Imports",201806,"2018-06",77188172,1530399600000
1,"Imports",201807,"2018-07",81248780,1533078000000
1,"Imports",201808,"2018-08",77179634,1535756400000
1,"Imports",201809,"2018-09",78274360,1538348400000
1,"Imports",201810,"2018-10",112134997,1541030400000
1,"Imports",201811,"2018-11",89400350,1543622400000
1,"Imports",201812,"2018-12",81923156,1546300800000
1,"Imports",201901,"2019-01",88360306,1548979200000
1,"Imports",201902,"2019-02",77865303,1551398400000
1,"Imports",201903,"2019-03",90712411,1554073200000
1,"Imports",201904,"2019-04",101731141,1556665200000
1,"Imports",201905,"2019-05",105916424,1559343600000
1,"Imports",201906,"2019-06",83505844,1561935600000
1,"Imports",201907,"2019-07",108623754,1564614000000
1,"Imports",201908,"2019-08",128880977,1567292400000
1,"Imports",201909,"2019-09",102384040,1569884400000
1,"Imports",201910,"2019-10",119355921,1572566400000
1,"Imports",201911,"2019-11",97192360,1575158400000
1,"Imports",201912,"2019-12",89732809,1577836800000
1,"Imports",202001,"2020-01",85315764,1580515200000
1,"Imports",202002,"2020-02",81632041,1583020800000
1,"Imports",202003,"2020-03",101009745,1585695600000
1,"Imports",202004,"2020-04",84399979,1588287600000
1,"Imports",202005,"2020-05",63437351,1590966000000
1,"Imports",202006,"2020-06",62080260,1593558000000
1,"Imports",202007,"2020-07",60413487,1596236400000
1,"Imports",202008,"2020-08",88562734,1598914800000
1,"Imports",202009,"2020-09",110117372,1601506800000
1,"Imports",202010,"2020-10",116477195,1604188800000
1,"Imports",202011,"2020-11",142179893,1606780800000
1,"Imports",202012,"2020-12",154773043,1609459200000
1,"Imports",202101,"2021-01",149054172,1612137600000
1,"Imports",202102,"2021-02",137913208,1614556800000
1,"Imports",202103,"2021-03",202062023,1617231600000
1,"Imports",202104,"2021-04",179479875,1619823600000
1,"Imports",202105,"2021-05",225231415,1622502000000
1,"Imports",202106,"2021-06",202297026,1625094000000
1,"Imports",202107,"2021-07",230813826,1627772400000
1,"Imports",202108,"2021-08",235789099,1630450800000
1,"Imports",202109,"2021-09",215072865,1633042800000
1,"Imports",202110,"2021-10",206349421,1635724800000
1,"Imports",202111,"2021-11",174711829,1638316800000
1,"Imports",202112,"2021-12",162259656,1640995200000
1,"Imports",202201,"2022-01",175858780,1643673600000
1,"Imports",202202,"2022-02",159151177,1646092800000
1,"Imports",202203,"2022-03",234172171,1648767600000
1,"Imports",202204,"2022-04",240420109,1651359600000
1,"Imports",202205,"2022-05",264239150,1654038000000
1,"Imports",202206,"2022-06",288835339,1656630000000
1,"Imports",202207,"2022-07",277039085,1659308400000
1,"Imports",202208,"2022-08",237993983,1661986800000
1,"Imports",202209,"2022-09",307810034,1664578800000
1,"Imports",202210,"2022-10",291443735,1667260800000
1,"Imports",202211,"2022-11",307222576,1669852800000
1,"Imports",202212,"2022-12",237002938,1672531200000
1,"Imports",202301,"2023-01",169308862,1675209600000
1,"Imports",202302,"2023-02",249478503,1677628800000
1,"Imports",202303,"2023-03",408549810,1680303600000
1,"Imports",202304,"2023-04",317156918,1682895600000
1,"Imports",202305,"2023-05",396839294,1685574000000
1,"Imports",202306,"2023-06",393207624,1688166000000
1,"Imports",202307,"2023-07",417314050,1690844400000
1,"Imports",202308,"2023-08",379628609,1693522800000
1,"Imports",202309,"2023-09",278473748,1696114800000
1,"Imports",202310,"2023-10",325840592,1698796800000
1,"Imports",202311,"2023-11",254660661,1701388800000
1,"Imports",202312,"2023-12",162462215,1704067200000
1,"Imports",202401,"2024-01",162028631,1706745600000
2,"Exports",200601,"2006-01",3328292,1138752000000
2,"Exports",200602,"2006-02",2399082,1141171200000
2,"Exports",200603,"2006-03",2452415,1143846000000
2,"Exports",200604,"2006-04",1869564,1146438000000
2,"Exports",200605,"2006-05",6302659,1149116400000
2,"Exports",200606,"2006-06",3058489,1151708400000
2,"Exports",200607,"2006-07",10604948,1154386800000
2,"Exports",200608,"2006-08",11937798,1157065200000
2,"Exports",200609,"2006-09",10361714,1159657200000
2,"Exports",200610,"2006-10",12354760,1162339200000
2,"Exports",200611,"2006-11",11474194,1164931200000
2,"Exports",200612,"2006-12",13370236,1167609600000
2,"Exports",200701,"2007-01",2458575,1170288000000
2,"Exports",200702,"2007-02",2666537,1172707200000
2,"Exports",200703,"2007-03",3222085,1175382000000
2,"Exports",200704,"2007-04",4465540,1177974000000
2,"Exports",200705,"2007-05",3875714,1180652400000
2,"Exports",200706,"2007-06",3448725,1183244400000
2,"Exports",200707,"2007-07",5996477,1185922800000
2,"Exports",200708,"2007-08",5364868,1188601200000
2,"Exports",200709,"2007-09",4860978,1191193200000
2,"Exports",200710,"2007-10",4800952,1193875200000
2,"Exports",200711,"2007-11",5205491,1196467200000
2,"Exports",200712,"2007-12",5149013,1199145600000
2,"Exports",200801,"2008-01",8919871,1201824000000
2,"Exports",200802,"2008-02",5350076,1204329600000
2,"Exports",200803,"2008-03",70213496,1207004400000
2,"Exports",200804,"2008-04",6558742,1209596400000
2,"Exports",200805,"2008-05",6615807,1212274800000
2,"Exports",200806,"2008-06",4371542,1214866800000
2,"Exports",200807,"2008-07",4650177,1217545200000
2,"Exports",200808,"2008-08",5460968,1220223600000
2,"Exports",200809,"2008-09",5113306,1222815600000
2,"Exports",200810,"2008-10",6117251,1225497600000
2,"Exports",200811,"2008-11",4000331,1228089600000
2,"Exports",200812,"2008-12",4942927,1230768000000
2,"Exports",200901,"2009-01",4080548,1233446400000
2,"Exports",200902,"2009-02",6713546,1235865600000
2,"Exports",200903,"2009-03",4988699,1238540400000
2,"Exports",200904,"2009-04",5438139,1241132400000
