Flow,Month,Trade Value,Country
Exports,2006-01,5401309,Austria
Exports,2006-01,35806346,Belgium
Exports,2006-01,9306,Bulgary
Exports,2006-01,62170,Croatia
Exports,2006-01,522740,Cyprus
Exports,2006-01,2707026,Czech_Republic
Exports,2006-01,5228278,Denmark
Exports,2006-01,154352,Estonia
Exports,2006-01,285513,European_Community
Exports,2006-01,10711366,Finland
Exports,2006-01,28776780,France
Exports,2006-01,168332425,Germany
Exports,2006-01,2044525,Greece
Exports,2006-01,4189694,Hungary
Exports,2006-01,10508357,Ireland
Exports,2006-01,16590576,Italy
Exports,2006-01,117590,Latvia
Exports,2006-01,189295,Lithuania
Exports,2006-01,44776,Luxembourg
Exports,2006-01,60979,Malta
Exports,2006-01,75761939,Netherlands
Exports,2006-01,3328292,Poland
Exports,2006-01,44062349,Portugal
Exports,2006-01,241239,Romania
Exports,2006-01,450860,Slovakia
Exports,2006-01,58271,Slovenia
Exports,2006-01,260812937,Spain
Exports,2006-01,3074677,Sweden
Exports,2006-02,5640353,Austria
Exports,2006-02,49173549,Belgium
Exports,2006-02,82445,Bulgary
Exports,2006-02,184290,Croatia
Exports,2006-02,120784,Cyprus
Exports,2006-02,3391502,Czech_Republic
Exports,2006-02,13208386,Denmark
Exports,2006-02,10777,Estonia
Exports,2006-02,239765,European_Community
Exports,2006-02,7217204,Finland
Exports,2006-02,35097157,France
Exports,2006-02,272166214,Germany
Exports,2006-02,2274610,Greece
Exports,2006-02,3020728,Hungary
Exports,2006-02,10290180,Ireland
Exports,2006-02,14129491,Italy
Exports,2006-02,331108,Latvia
Exports,2006-02,35417,Lithuania
Exports,2006-02,25361,Luxembourg
Exports,2006-02,7726,Malta
Exports,2006-02,81578899,Netherlands
Exports,2006-02,2399082,Poland
Exports,2006-02,2206827,Portugal
Exports,2006-02,337095,Romania
Exports,2006-02,378777,Slovakia
Exports,2006-02,81084,Slovenia
Exports,2006-02,207485496,Spain
Exports,2006-02,2141282,Sweden
Exports,2006-03,5056153,Austria
Exports,2006-03,59882972,Belgium
Exports,2006-03,107755,Bulgary
Exports,2006-03,5232,Croatia
Exports,2006-03,774732,Cyprus
Exports,2006-03,3061044,Czech_Republic
Exports,2006-03,5406848,Denmark
Exports,2006-03,26866,Estonia
Exports,2006-03,248308,European_Community
Exports,2006-03,11007054,Finland
Exports,2006-03,46130835,France
Exports,2006-03,202248075,Germany
Exports,2006-03,2714946,Greece
Exports,2006-03,3883345,Hungary
Exports,2006-03,9706909,Ireland
Exports,2006-03,22809723,Italy
Exports,2006-03,192937,Latvia
Exports,2006-03,295765,Lithuania
Exports,2006-03,283571,Luxembourg
Exports,2006-03,37804,Malta
Exports,2006-03,97607675,Netherlands
Exports,2006-03,2452415,Poland
Exports,2006-03,53928492,Portugal
Exports,2006-03,420215,Romania
Exports,2006-03,237484,Slovakia
Exports,2006-03,125575,Slovenia
Exports,2006-03,233904170,Spain
Exports,2006-03,7691221,Sweden
Exports,2006-04,3671520,Austria
Exports,2006-04,56848956,Belgium
Exports,2006-04,73953,Bulgary
Exports,2006-04,2205,Croatia
Exports,2006-04,577187,Cyprus
Exports,2006-04,2703615,Czech_Republic
Exports,2006-04,15459197,Denmark
Exports,2006-04,21529,Estonia
Exports,2006-04,113557,European_Community
Exports,2006-04,13592183,Finland
Exports,2006-04,63367352,France
Exports,2006-04,265302699,Germany
Exports,2006-04,1212260,Greece
Exports,2006-04,2849055,Hungary
Exports,2006-04,6677128,Ireland
Exports,2006-04,15290918,Italy
Exports,2006-04,217482,Latvia
Exports,2006-04,164727,Lithuania
Exports,2006-04,520092,Luxembourg
Exports,2006-04,79134000,Netherlands
Exports,2006-04,1869564,Poland
Exports,2006-04,3780862,Portugal
Exports,2006-04,281168,Romania
Exports,2006-04,228941,Slovakia
Exports,2006-04,281077,Slovenia
Exports,2006-04,282755475,Spain
Exports,2006-04,2230007,Sweden
Exports,2006-05,3685072,Austria
Exports,2006-05,52802880,Belgium
Exports,2006-05,56349,Bulgary
Exports,2006-05,2567,Croatia
Exports,2006-05,1019038,Cyprus
Exports,2006-05,3271470,Czech_Republic
Exports,2006-05,5865530,Denmark
Exports,2006-05,318163,Estonia
Exports,2006-05,217800,European_Community
Exports,2006-05,24353037,Finland
Exports,2006-05,47438006,France
Exports,2006-05,260472922,Germany
Exports,2006-05,1460306,Greece
Exports,2006-05,5752399,Hungary
Exports,2006-05,9673905,Ireland
Exports,2006-05,17755549,Italy
Exports,2006-05,220711,Latvia
Exports,2006-05,162556,Lithuania
Exports,2006-05,54192,Luxembourg
Exports,2006-05,63242,Malta
Exports,2006-05,95575749,Netherlands
Exports,2006-05,6302659,Poland
Exports,2006-05,52502304,Portugal
Exports,2006-05,470579,Romania
Exports,2006-05,679822,Slovakia
Exports,2006-05,97274,Slovenia
Exports,2006-05,360210860,Spain
Exports,2006-05,9733087,Sweden
Exports,2006-06,3886610,Austria
Exports,2006-06,56823906,Belgium
Exports,2006-06,56789,Bulgary
Exports,2006-06,43166,Croatia
Exports,2006-06,668888,Cyprus
Exports,2006-06,6790350,Czech_Republic
Exports,2006-06,4936417,Denmark
Exports,2006-06,111439,Estonia
Exports,2006-06,19463,European_Community
Exports,2006-06,14401316,Finland
Exports,2006-06,36220239,France
Exports,2006-06,319174061,Germany
Exports,2006-06,1485099,Greece
Exports,2006-06,8242044,Hungary
Exports,2006-06,11259467,Ireland
Exports,2006-06,19532424,Italy
Exports,2006-06,256580,Latvia
Exports,2006-06,268337,Lithuania
Exports,2006-06,51505,Luxembourg
Exports,2006-06,68213,Malta
Exports,2006-06,86782815,Netherlands
Exports,2006-06,3058489,Poland
Exports,2006-06,3490424,Portugal
Exports,2006-06,3038665,Romania
Exports,2006-06,743092,Slovakia
Exports,2006-06,381858,Slovenia
Exports,2006-06,284364971,Spain
Exports,2006-06,11090683,Sweden
Exports,2006-07,3400857,Austria
Exports,2006-07,44621276,Belgium
Exports,2006-07,46100,Bulgary
Exports,2006-07,27282,Croatia
Exports,2006-07,537900,Cyprus
Exports,2006-07,5131518,Czech_Republic
Exports,2006-07,8536076,Denmark
Exports,2006-07,238778,Estonia
Exports,2006-07,136924,European_Community
Exports,2006-07,10938153,Finland
Exports,2006-07,38869292,France
Exports,2006-07,271655605,Germany
Exports,2006-07,2525752,Greece
Exports,2006-07,5676373,Hungary
Exports,2006-07,6841739,Ireland
Exports,2006-07,29444410,Italy
Exports,2006-07,297619,Latvia
Exports,2006-07,150204,Lithuania
Exports,2006-07,6106,Luxembourg
Exports,2006-07,30337,Malta
Exports,2006-07,76602048,Netherlands
Exports,2006-07,10604948,Poland
Exports,2006-07,57451624,Portugal
Exports,2006-07,179898,Romania
Exports,2006-07,124350,Slovakia
Exports,2006-07,169152,Slovenia
Exports,2006-07,270177120,Spain
Exports,2006-07,6036969,Sweden
Exports,2006-08,6772178,Austria
Exports,2006-08,84588793,Belgium
Exports,2006-08,30461,Bulgary
Exports,2006-08,385351,Croatia
Exports,2006-08,227347,Cyprus
Exports,2006-08,8408713,Czech_Republic
Exports,2006-08,10474319,Denmark
Exports,2006-08,39346,Estonia
Exports,2006-08,130123,European_Community
Exports,2006-08,10597009,Finland
Exports,2006-08,46704508,France
Exports,2006-08,199833616,Germany
Exports,2006-08,2881436,Greece
Exports,2006-08,6208320,Hungary
Exports,2006-08,9162129,Ireland
Exports,2006-08,18732060,Italy
