Flow,Month,Trade Value,Country
Imports,2006-01,37865015,Austria
Imports,2006-01,67926604,Belgium
Imports,2006-01,2686972,Bulgary
Imports,2006-01,576727,Croatia
Imports,2006-01,1751,Cyprus
Imports,2006-01,22111753,Czech_Republic
Imports,2006-01,17738756,Denmark
Imports,2006-01,5176559,Estonia
Imports,2006-01,4307016,European_Community
Imports,2006-01,19388326,Finland
Imports,2006-01,191346981,France
Imports,2006-01,674134682,Germany
Imports,2006-01,3392298,Greece
Imports,2006-01,13042916,Hungary
Imports,2006-01,69400666,Ireland
Imports,2006-01,335829357,Italy
Imports,2006-01,162935,Latvia
Imports,2006-01,1040602,Lithuania
Imports,2006-01,5976665,Luxembourg
Imports,2006-01,16881468,Malta
Imports,2006-01,81818806,Netherlands
Imports,2006-01,11319322,Poland
Imports,2006-01,24054531,Portugal
Imports,2006-01,4103403,Romania
Imports,2006-01,5623630,Slovakia
Imports,2006-01,4623535,Slovenia
Imports,2006-01,258254431,Spain
Imports,2006-01,63144814,Sweden
Imports,2006-02,42090947,Austria
Imports,2006-02,51691824,Belgium
Imports,2006-02,2281872,Bulgary
Imports,2006-02,460668,Croatia
Imports,2006-02,6686,Cyprus
Imports,2006-02,20447723,Czech_Republic
Imports,2006-02,19444953,Denmark
Imports,2006-02,547887,Estonia
Imports,2006-02,2976683,European_Community
Imports,2006-02,24973425,Finland
Imports,2006-02,193285944,France
Imports,2006-02,552927687,Germany
Imports,2006-02,4011421,Greece
Imports,2006-02,13424878,Hungary
Imports,2006-02,58544140,Ireland
Imports,2006-02,278818012,Italy
Imports,2006-02,51694,Latvia
Imports,2006-02,1374691,Lithuania
Imports,2006-02,4904874,Luxembourg
Imports,2006-02,19710625,Malta
Imports,2006-02,72810771,Netherlands
Imports,2006-02,10562897,Poland
Imports,2006-02,35519143,Portugal
Imports,2006-02,4159178,Romania
Imports,2006-02,3388225,Slovakia
Imports,2006-02,4459705,Slovenia
Imports,2006-02,250501510,Spain
Imports,2006-02,62421792,Sweden
Imports,2006-03,52712063,Austria
Imports,2006-03,69241290,Belgium
Imports,2006-03,1580338,Bulgary
Imports,2006-03,1409322,Croatia
Imports,2006-03,14041,Cyprus
Imports,2006-03,20156171,Czech_Republic
Imports,2006-03,18759346,Denmark
Imports,2006-03,9293549,Estonia
Imports,2006-03,5160417,European_Community
Imports,2006-03,27297151,Finland
Imports,2006-03,216995617,France
Imports,2006-03,662981355,Germany
Imports,2006-03,3985262,Greece
Imports,2006-03,17733304,Hungary
Imports,2006-03,77799476,Ireland
Imports,2006-03,258192247,Italy
Imports,2006-03,30148,Latvia
Imports,2006-03,921423,Lithuania
Imports,2006-03,6281352,Luxembourg
Imports,2006-03,12368830,Malta
Imports,2006-03,149248556,Netherlands
Imports,2006-03,34724642,Poland
Imports,2006-03,50041440,Portugal
Imports,2006-03,4793283,Romania
Imports,2006-03,5733085,Slovakia
Imports,2006-03,5069146,Slovenia
Imports,2006-03,315498840,Spain
Imports,2006-03,80897166,Sweden
Imports,2006-04,37790634,Austria
Imports,2006-04,67426056,Belgium
Imports,2006-04,2926536,Bulgary
Imports,2006-04,554239,Croatia
Imports,2006-04,27683,Cyprus
Imports,2006-04,21075983,Czech_Republic
Imports,2006-04,14852971,Denmark
Imports,2006-04,417021,Estonia
Imports,2006-04,4028040,European_Community
Imports,2006-04,23617023,Finland
Imports,2006-04,210949234,France
Imports,2006-04,618891443,Germany
Imports,2006-04,2857648,Greece
Imports,2006-04,23150951,Hungary
Imports,2006-04,72657962,Ireland
Imports,2006-04,277178676,Italy
Imports,2006-04,234938,Latvia
Imports,2006-04,448724,Lithuania
Imports,2006-04,5011937,Luxembourg
Imports,2006-04,9991931,Malta
Imports,2006-04,77991926,Netherlands
Imports,2006-04,12877677,Poland
Imports,2006-04,23791314,Portugal
Imports,2006-04,3626553,Romania
Imports,2006-04,6186868,Slovakia
Imports,2006-04,4386502,Slovenia
Imports,2006-04,268026297,Spain
Imports,2006-04,74319474,Sweden
Imports,2006-05,41337046,Austria
Imports,2006-05,87136085,Belgium
Imports,2006-05,2205289,Bulgary
Imports,2006-05,677362,Croatia
Imports,2006-05,20820,Cyprus
Imports,2006-05,22619566,Czech_Republic
Imports,2006-05,28370905,Denmark
Imports,2006-05,341779,Estonia
Imports,2006-05,6186879,European_Community
Imports,2006-05,31180669,Finland
Imports,2006-05,200342087,France
Imports,2006-05,672262465,Germany
Imports,2006-05,1117162,Greece
Imports,2006-05,19419060,Hungary
Imports,2006-05,74355378,Ireland
Imports,2006-05,436625707,Italy
Imports,2006-05,266142,Latvia
Imports,2006-05,893707,Lithuania
Imports,2006-05,5094349,Luxembourg
Imports,2006-05,20967004,Malta
Imports,2006-05,137453566,Netherlands
Imports,2006-05,13810406,Poland
Imports,2006-05,27750588,Portugal
Imports,2006-05,3043497,Romania
Imports,2006-05,11185022,Slovakia
Imports,2006-05,4305349,Slovenia
Imports,2006-05,377243456,Spain
Imports,2006-05,122411199,Sweden
Imports,2006-06,36308334,Austria
Imports,2006-06,63673948,Belgium
Imports,2006-06,2340895,Bulgary
Imports,2006-06,350217,Croatia
Imports,2006-06,179090,Cyprus
Imports,2006-06,26536680,Czech_Republic
Imports,2006-06,19784709,Denmark
Imports,2006-06,4836066,Estonia
Imports,2006-06,5890683,European_Community
Imports,2006-06,24284885,Finland
Imports,2006-06,210341003,France
Imports,2006-06,630804274,Germany
Imports,2006-06,11917119,Greece
Imports,2006-06,14065242,Hungary
Imports,2006-06,79912040,Ireland
Imports,2006-06,296239797,Italy
Imports,2006-06,250911,Latvia
Imports,2006-06,1057361,Lithuania
Imports,2006-06,3322114,Luxembourg
Imports,2006-06,12551829,Malta
Imports,2006-06,108204874,Netherlands
Imports,2006-06,12682843,Poland
Imports,2006-06,29558386,Portugal
Imports,2006-06,4735654,Romania
Imports,2006-06,9007934,Slovakia
Imports,2006-06,3989615,Slovenia
Imports,2006-06,322296990,Spain
Imports,2006-06,73026540,Sweden
Imports,2006-07,43013744,Austria
Imports,2006-07,75322043,Belgium
Imports,2006-07,2270815,Bulgary
Imports,2006-07,281295,Croatia
Imports,2006-07,104776,Cyprus
Imports,2006-07,27910333,Czech_Republic
Imports,2006-07,18828775,Denmark
Imports,2006-07,430963,Estonia
Imports,2006-07,11618672,European_Community
Imports,2006-07,27855698,Finland
Imports,2006-07,250230002,France
Imports,2006-07,583100146,Germany
Imports,2006-07,2166493,Greece
Imports,2006-07,29816242,Hungary
Imports,2006-07,74914882,Ireland
Imports,2006-07,318765039,Italy
Imports,2006-07,342943,Latvia
Imports,2006-07,1064616,Lithuania
Imports,2006-07,4227846,Luxembourg
Imports,2006-07,9748615,Malta
Imports,2006-07,188302759,Netherlands
Imports,2006-07,17989022,Poland
Imports,2006-07,23667976,Portugal
Imports,2006-07,3638689,Romania
Imports,2006-07,4989360,Slovakia
Imports,2006-07,3823002,Slovenia
Imports,2006-07,253465752,Spain
Imports,2006-07,66455890,Sweden
Imports,2006-08,50183384,Austria
Imports,2006-08,62337217,Belgium
Imports,2006-08,2055164,Bulgary
Imports,2006-08,455299,Croatia
Imports,2006-08,6996,Cyprus
Imports,2006-08,26383554,Czech_Republic
Imports,2006-08,22326113,Denmark
Imports,2006-08,276376,Estonia
Imports,2006-08,214946,European_Community
Imports,2006-08,33145142,Finland
Imports,2006-08,225609016,France
Imports,2006-08,737386136,Germany
Imports,2006-08,2394883,Greece
Imports,2006-08,61550275,Hungary
Imports,2006-08,79197438,Ireland
Imports,2006-08,404549427,Italy
Imports,2006-08,147338,Latvia
Imports,2006-08,690608,Lithuania
Imports,2006-08,4125967,Luxembourg
Imports,2006-08,11842997,Malta
Imports,2006-08,184695104,Netherlands
Imports,2006-08,20920526,Poland
Imports,2006-08,28498708,Portugal
Imports,2006-08,6412118,Romania
Imports,2006-08,9623393,Slovakia
Imports,2006-08,6163668,Slovenia
Imports,2006-08,385872786,Spain
Imports,2006-08,74780345,Sweden
Imports,2006-09,36472829,Austria
Imports,2006-09,66956458,Belgium
Imports,2006-09,20468664,Bulgary
Imports,2006-09,718670,Croatia
Imports,2006-09,41099,Cyprus
Imports,2006-09,22965874,Czech_Republic
