Month,Flow,Trade Value,Trade Direction
2006-01,Exports,679533967,Mexico to EU
2006-02,Exports,713255589,Mexico to EU
2006-03,Exports,770248121,Mexico to EU
2006-04,Exports,819226709,Mexico to EU
2006-05,Exports,960218028,Mexico to EU
2006-06,Exports,877247310,Mexico to EU
2006-07,Exports,850458410,Mexico to EU
2006-08,Exports,809229576,Mexico to EU
2006-09,Exports,885999599,Mexico to EU
2006-10,Exports,873092646,Mexico to EU
2006-11,Exports,887399042,Mexico to EU
2006-12,Exports,897685251,Mexico to EU
2007-01,Exports,755324408,Mexico to EU
2007-02,Exports,906066126,Mexico to EU
2007-03,Exports,912254134,Mexico to EU
2007-04,Exports,894835657,Mexico to EU
2007-05,Exports,1106977474,Mexico to EU
2007-06,Exports,1079620295,Mexico to EU
2007-07,Exports,1102248209,Mexico to EU
2007-08,Exports,1365457774,Mexico to EU
2007-09,Exports,1116133080,Mexico to EU
2007-10,Exports,1105239474,Mexico to EU
2007-11,Exports,1228662028,Mexico to EU
2007-12,Exports,1057243640,Mexico to EU
2008-01,Exports,1280791793,Mexico to EU
2008-02,Exports,1144345709,Mexico to EU
2008-03,Exports,1487335904,Mexico to EU
2008-04,Exports,1434045060,Mexico to EU
2008-05,Exports,1664874731,Mexico to EU
2008-06,Exports,1441540144,Mexico to EU
2008-07,Exports,1576740522,Mexico to EU
2008-08,Exports,1213478230,Mexico to EU
2008-09,Exports,1036723445,Mexico to EU
2008-10,Exports,1146032060,Mexico to EU
2008-11,Exports,953843573,Mexico to EU
2008-12,Exports,833481780,Mexico to EU
2009-01,Exports,635732400,Mexico to EU
2009-02,Exports,792890012,Mexico to EU
2009-03,Exports,734145395,Mexico to EU
2009-04,Exports,760930853,Mexico to EU
2009-05,Exports,807887820,Mexico to EU
2009-06,Exports,856665984,Mexico to EU
2009-07,Exports,940235351,Mexico to EU
2009-08,Exports,746919643,Mexico to EU
2009-09,Exports,954262166,Mexico to EU
2009-10,Exports,907547922,Mexico to EU
2009-11,Exports,964680413,Mexico to EU
2009-12,Exports,1055922075,Mexico to EU
2010-01,Exports,824402849,Mexico to EU
2010-02,Exports,1009303599,Mexico to EU
2010-03,Exports,1038467380,Mexico to EU
2010-04,Exports,908450155,Mexico to EU
2010-05,Exports,1138804875,Mexico to EU
2010-06,Exports,849514827,Mexico to EU
2010-07,Exports,999261145,Mexico to EU
2010-08,Exports,983438778,Mexico to EU
2010-09,Exports,1263599278,Mexico to EU
2010-10,Exports,1020956879,Mexico to EU
2010-11,Exports,1086660301,Mexico to EU
2010-12,Exports,1459743100,Mexico to EU
2011-01,Exports,1215354919,Mexico to EU
2011-02,Exports,1112435235,Mexico to EU
2011-03,Exports,1402976582,Mexico to EU
2011-04,Exports,1389154622,Mexico to EU
2011-05,Exports,1552494232,Mexico to EU
2011-06,Exports,1431528022,Mexico to EU
2011-07,Exports,1273825400,Mexico to EU
2011-08,Exports,1454411673,Mexico to EU
2011-09,Exports,1366814562,Mexico to EU
2011-10,Exports,1524009542,Mexico to EU
2011-11,Exports,1605118638,Mexico to EU
2011-12,Exports,1328308606,Mexico to EU
2012-01,Exports,1513210302,Mexico to EU
2012-02,Exports,1341206016,Mexico to EU
2012-03,Exports,1884947667,Mexico to EU
2012-04,Exports,1639302265,Mexico to EU
2012-05,Exports,1708758774,Mexico to EU
2012-06,Exports,1656875474,Mexico to EU
2012-07,Exports,1596181778,Mexico to EU
2012-08,Exports,1561897441,Mexico to EU
2012-09,Exports,1617463949,Mexico to EU
2012-10,Exports,1563870102,Mexico to EU
2012-11,Exports,1799978904,Mexico to EU
2012-12,Exports,1462601502,Mexico to EU
2013-01,Exports,1861090195,Mexico to EU
2013-02,Exports,1410240835,Mexico to EU
2013-03,Exports,1522047162,Mexico to EU
2013-04,Exports,1612298075,Mexico to EU
2013-05,Exports,1663577833,Mexico to EU
2013-06,Exports,1445435003,Mexico to EU
2013-07,Exports,1488476219,Mexico to EU
2013-08,Exports,1681110918,Mexico to EU
2013-09,Exports,1649123835,Mexico to EU
2013-10,Exports,1417541207,Mexico to EU
2013-11,Exports,1044919692,Mexico to EU
2013-12,Exports,1317090563,Mexico to EU
2014-01,Exports,1395266335,Mexico to EU
2014-02,Exports,1440967899,Mexico to EU
2014-03,Exports,1661641907,Mexico to EU
2014-04,Exports,1701827156,Mexico to EU
2014-05,Exports,1755743559,Mexico to EU
2014-06,Exports,1682194382,Mexico to EU
2014-07,Exports,1529575319,Mexico to EU
2014-08,Exports,1418172090,Mexico to EU
2014-09,Exports,1499840773,Mexico to EU
2014-10,Exports,1426289228,Mexico to EU
2014-11,Exports,1487576274,Mexico to EU
2014-12,Exports,1545367059,Mexico to EU
